"OUTCOME High/Low LC, LP, BP",Experimental Metabolic Strategy,Growth Phase,Cultivation Scale,Temperature,Light Intensity,Agitation,Photoperiods,Growth Period,CO2 Supply,Air Supply,N,P,inorganic C,organic C,Salinity,K,Ca,Fe,Co,Cu,EDTANa,Na2EDTA,EDTAFeNa,pH,Cultivation Mode,Na2MGEDTA,EDTA,Seed Metabolic Strategy,Inorganic C Source,Organic C Source,N Source,pH Control Strategy,pH Regulators,Stage Phase Strategy,Lamp Color,Culture Medium,Lamp Type,Inoculum Concentration,Chlorella Strain
HL,photoautotrophic,stationary,5,25,350,0,24,10,0,yes,0.041253,0.053215,0.071481,0,0.025,0.105534,0.006816,0.000799,0.000099,0.0004,0,0.05,0,,repeated fed-batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,none,single-stage,,BBM,fluorescent,0.3,Chlorella vulgaris
HL,photoheterotrophic,stationary,5,25,350,0,24,10,0,yes,0.041253,0.053215,0,0.179052,0.025,0.105534,0.006816,0.000799,0.000099,0.0004,0,0.05,0,,repeated fed-batch,0,yes,photoautotrophic,none,molasses,sodium nitrate,initial,none,single-stage,,BBM,fluorescent,0.3,Chlorella vulgaris
HL,photoautotrophic,stationary,5,25,350,0,24,8,0.04,yes,0.000047,0.053215,0,0,0.025,0.105534,0.006816,0.000799,0.000099,0.0004,0,0.05,0,,batch,0,yes,photoautotrophic,carbon dioxide,none,none,initial,none,single-stage,,mBBM,fluorescent,1,Chlorella vulgaris
HL,photoautotrophic,stationary,5,25,350,0,24,7,3,yes,0.000047,0.053215,0,0,0.025,0.105534,0.006816,0.000799,0.000099,0.0004,0,0.05,0,,batch,0,yes,photoautotrophic,carbon dioxide,none,none,initial,none,single-stage,,mBBM,fluorescent,1,Chlorella vulgaris
HL,photoheterotrophic,stationary,5,25,350,0,24,6,0,yes,0.000047,0.053215,0,0.146403,0.025,0.105534,0.006816,0.000799,0.000099,0.0004,0,0.05,0,,repeated fed-batch,0,yes,photoautotrophic,none,sodium acetate,none,initial,none,single-stage,,mBBM,fluorescent,1,Chlorella vulgaris
HL,photoautotrophic,stationary,5,25,350,0,24,6,0,yes,0.000047,0.053215,0.071481,0,0.025,0.105534,0.006816,0.000799,0.000099,0.0004,0,0.05,0,,repeated fed-batch,0,yes,photoautotrophic,sodium bicarbonate,none,none,initial,none,single-stage,,mBBM,fluorescent,1,Chlorella vulgaris
HL,photoheterotrophic,stationary,5,25,350,0,24,7,0,yes,0.000047,0.053215,0,0.179052,0.025,0.105534,0.006816,0.000799,0.000099,0.0004,0,0.05,0,,repeated fed-batch,0,yes,photoautotrophic,none,molasses,none,initial,none,single-stage,,mBBM,fluorescent,1,Chlorella vulgaris
HL,photoautotrophic,stationary,2.5,25,150,0,24,4,2,yes,0.024724,0.006675,0,0.00225,0,0.016832,0.006816,0.00002,0,0,0,0.00075,0,7,batch,0,yes,heterotrophic,none,none,sodium nitrate,initial,none,single-stage,,Allen,fluorescent,0.3,Chlorella pyrenoidosa
HL,photoautotrophic,stationary,2.5,25,150,0,24,4,2,yes,0.041206,0.053215,0,0,0,0.083931,0.006816,0.00002,0,0,0,0.00075,0,7,batch,0,yes,heterotrophic,none,none,sodium nitrate,initial,none,single-stage,,BBM,fluorescent,0.3,Chlorella pyrenoidosa
HL,photoautotrophic,stationary,2.5,25,150,0,24,4,2,yes,0.247235,0.00712,0,0.00225,0,0.017955,0.009815,0.00127,0,0.00002,0,0.001,0,7,batch,0,yes,heterotrophic,none,none,sodium nitrate,initial,none,single-stage,,BG11,fluorescent,0.3,Chlorella pyrenoidosa
HL,photoautotrophic,stationary,2.5,25,150,0,24,4,2,yes,0.082417,0.001749,0,0,0,0,0,0.000806,0.000012,0.000003,0,0.00435,0,7,batch,0,yes,heterotrophic,none,none,sodium nitrate,initial,none,single-stage,,F-Si,fluorescent,0.3,Chlorella pyrenoidosa
LL,photoautotrophic,stationary,2.5,25,150,0,24,4,2,yes,0.17327,0.222494,0,0,0,1.044463,0.022765,0.018308,0.00001,0.0004,0,0.05,0,7,batch,0,yes,heterotrophic,none,none,potassium nitrate,initial,none,single-stage,,SK,fluorescent,0.3,Chlorella pyrenoidosa
HL,photoautotrophic,stationary,2.5,25,150,0,24,4,2,yes,0.0467139,0.003974,0,0,0,0,0,0.002686,0.000495,0.000509,0,0.004,0,7,batch,0,yes,heterotrophic,none,none,urea,initial,none,single-stage,,Walne,fluorescent,0.3,Chlorella pyrenoidosa
LL,photoautotrophic,stationary,1,23,120,0,16,24,0.04,yes,0.248045,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,,BG11,fluorescent,0.01,Chlorella sp
LL,photoautotrophic,stationary,1,23,120,0,16,24,0.04,yes,0.124427,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.01,Chlorella sp
LL,photoautotrophic,stationary,1,23,120,0,16,24,0.04,yes,0.083221,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.01,Chlorella sp
HL,photoautotrophic,stationary,1,23,120,0,16,24,0.04,yes,0.062618,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,,mBG11,fluorescent,0.01,Chlorella sp
HL,photoautotrophic,stationary,2.4,25,70,0,12,10,0.02,yes,0.248045,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,8.3,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,white,BG11,fluorescent,0.002,Chlorella sorokiniana
HL,photoautotrophic,stationary,2.4,25,70,0,12,10,5,yes,0.248045,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,6.7,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,white,BG11,fluorescent,0.002,Chlorella sorokiniana
HL,photoautotrophic,stationary,2.4,25,70,0,12,10,10,yes,0.248045,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,5.7,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,white,BG11,fluorescent,0.002,Chlorella sorokiniana
HL,photoautotrophic,stationary,2.4,25,70,0,12,10,15,yes,0.248045,0.00712,0.002266,0.003906,0,0.017955,0.009815,0.000642,0.00001,0.00002,0,0.001,0,5.3,batch,0,yes,photoautotrophic,"sodium carbonate, carbon dioxide",none,sodium nitrate,initial,none,single-stage,white,BG11,fluorescent,0.002,Chlorella sorokiniana
LL,photoautotrophic,stationary,0.25,25,130,0,14,8,1.5,yes,0.069286,0.222494,0,0,0,0.754432,0,0.001808,0.00001,0.00002,0,0.037,0,,batch,0,yes,photoautotrophic,carbon dioxide,none,potassium nitrate,initial,none,single-stage,,mTamiya,,0.01,Chlorella vulgaris
LL,photoautotrophic,stationary,0.25,25,130,0,14,8,1.5,yes,0.069286,0.222494,0,0,0,0.754432,0,0.001808,0.00001,0.00002,0,0.037,0,,batch,0,yes,photoautotrophic,carbon dioxide,none,potassium nitrate,initial,none,single-stage,,mTamiya,,0.01,Chlorella sp
LL,photoautotrophic,stationary,1,38.5,250,0,16,16,0.03,yes,0.041253,0.017336,0,0,0.025,0.038691,0.006543,0.001838,0.000099,0.0004,0,0,0,7,batch,0,yes,photoautotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,daylight,mBBM,sun,0.01,Chlorella pyrenoidosa
LL,photoautotrophic,stationary,1,28,50,0,24,16,0,no,0.041253,0.017336,0.643332,0,0.025,0.038691,0.006543,0.001838,0.000099,0.0004,0,0,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,none,single-stage,,BBM,fluorescent,0.01,Chlorella pyrenoidosa
HL,photoautotrophic,stationary,1,38.5,250,0,16,16,0.03,yes,0.02065,0.017336,0,0,0.025,0.038691,0.006543,0.001838,0.000099,0.0004,0,0,0,7,batch,0,yes,photoautotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,daylight,mBBM,sun,0.01,Chlorella pyrenoidosa
LL,photoautotrophic,stationary,1,28,50,0,24,16,0,no,0.02065,0.017336,0.643332,0,0.025,0.038691,0.006543,0.001838,0.000099,0.0004,0,0,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,none,single-stage,,mBBM,fluorescent,0.01,Chlorella pyrenoidosa
LL,photoautotrophic,stationary,1,28,50,0,24,16,0.03,yes,0.041253,0.017336,0,0,0.025,0.038691,0.006543,0.001838,0.000099,0.0004,0,0,0,7,batch,0,yes,photoautotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,,mBBM,fluorescent,0.01,Chlorella pyrenoidosa
LL,photoautotrophic,stationary,1,28,50,0,16,16,0,no,0.041253,0.017336,0.643332,0,0.025,0.038691,0.006543,0.001838,0.000099,0.0004,0,0,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,none,single-stage,,BBM,fluorescent,0.1,Chlorella pyrenoidosa
LL,photoautotrophic,stationary,1,28,50,0,24,16,0,no,0.041253,0.017336,0.643332,0,0.025,0.038691,0.006543,0.001838,0.000099,0.0004,0,0,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,constant,carbon dioxide,single-stage,,BBM,fluorescent,0.01,Chlorella pyrenoidosa
HL,photoautotrophic,stationary,1,28,50,0,24,16,0,no,0.041253,0.017336,0.643332,0,0.025,0.038691,0.006543,0.001838,0.000099,0.0004,0,0,0,9,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,constant,carbon dioxide,single-stage,,BBM,fluorescent,0.01,Chlorella pyrenoidosa
LL,photoautotrophic,stationary,1,28,50,0,24,16,0,no,0.041253,0.017336,0.643332,0,0.025,0.038691,0.006543,0.001838,0.000099,0.0004,0,0,0,11,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,constant,carbon dioxide,single-stage,,BBM,fluorescent,0.01,Chlorella pyrenoidosa
HL,photoautotrophic,stationary,2.5,22,175,0,12,4,2,yes,0.082417,0.001749,0,0,0,0,0,0.000806,0.000012,0.000003,0,0.00435,0,7,batch,0,yes,heterotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,,mF-Si,fluorescent,0.3,Chlorella pyrenoidosa
HL,photoautotrophic,stationary,2.5,30,175,0,12,4,2,yes,0.082417,0.001749,0,0,0,0,0,0.000806,0.000012,0.000003,0,0.00435,0,7,batch,0,yes,heterotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,,mF-Si,fluorescent,0.3,Chlorella pyrenoidosa
HL,photoautotrophic,stationary,2.5,36,175,0,12,4,2,yes,0.082417,0.001749,0,0,0,0,0,0.000806,0.000012,0.000003,0,0.00435,0,7,batch,0,yes,heterotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,,mF-Si,fluorescent,0.3,Chlorella pyrenoidosa
HL,photoautotrophic,stationary,1.5,30,200,0,24,4,2,yes,0.082417,0.001749,0,0,0,0,0,0.000806,0.000012,0.000003,0,0.00435,0,7,batch,0,yes,heterotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,,mF-Si,fluorescent,0.3,Chlorella vulgaris
HL,photoautotrophic,stationary,1.5,30,200,0,24,4,2,yes,0.082417,0.001749,0,0,0,0,0,0.000806,0.000012,0.000003,0,0.00435,0,7,batch,0,yes,photoautotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,,mF-Si,fluorescent,0.3,Chlorella vulgaris
LL,photoautotrophic,stationary,0.1,25,150,120,24,14,5,yes,0.04001,0.077517,0.120099,0,0,0.307142,0.02004,0,0.000071,0.000083,0,0.027,0.009634,7,batch,0,yes,photoautotrophic,"sodium bicarbonate, carbon dioxide",none,potassium nitrate,constant,sodium hydroxide,single-stage,purple-pink,FreshwaterM,fluorescent,1.25,Chlorella vulgaris
HL,photoautotrophic,stationary,0.1,25,150,120,24,14,5,yes,0,0.077517,0.120099,0,0,0.19548,0.02004,0,0.000071,0.000083,0,0.027,0.009634,7,batch,0,yes,photoautotrophic,"sodium bicarbonate, carbon dioxide",none,none,constant,sodium hydroxide,single-stage,purple-pink,FreshwaterM,fluorescent,1.25,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,300,24,8,0,no,0.123618,0.053215,0,3.999867,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.5,batch,0,no,photoheterotrophic,none,glucose,sodium nitrate,initial,hydrogen chloride,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
LL,mixotrophic,stationary,1,25,60,300,24,14,0,no,0.123618,0.053215,0,3.999867,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.5,batch,0,no,photoheterotrophic,none,fructose,sodium nitrate,initial,hydrogen chloride,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
LL,mixotrophic,stationary,1,25,60,300,24,10,0,no,0.123618,0.053215,0,3.999871,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.5,batch,0,no,photoheterotrophic,none,sucrose,sodium nitrate,initial,hydrogen chloride,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
LL,mixotrophic,stationary,1,25,60,300,24,10,0,no,0.123618,0.053215,0,3.998378,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.5,batch,0,no,photoheterotrophic,none,glycerol,sodium nitrate,initial,hydrogen chloride,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
LL,mixotrophic,stationary,1,25,60,300,24,10,0,no,0.123618,0.053215,0,4.00265,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.5,batch,0,no,photoheterotrophic,none,sodium acetate,sodium nitrate,initial,hydrogen chloride,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,300,24,12,0,no,0.123618,0.053215,0,3.999867,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,8.5,batch,0,no,photoheterotrophic,none,fructose,sodium nitrate,constant,hydrogen chloride,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
LL,mixotrophic,stationary,1,25,60,300,24,12,0,no,0.123618,0.053215,0,3.999871,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,8.5,batch,0,no,photoheterotrophic,none,sucrose,sodium nitrate,constant,hydrogen chloride,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,300,24,12,0,no,0.123618,0.053215,0,4.00265,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,8.5,batch,0,no,photoheterotrophic,none,sodium acetate,sodium nitrate,constant,hydrogen chloride,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
LL,mixotrophic,stationary,1,25,60,300,24,12,0,no,0.123618,0.053215,0,0.004,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6,batch,0,no,photoheterotrophic,none,acetic acid,sodium nitrate,constant,acetic acid,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,300,24,12,0,no,0.123618,0.053215,0,0.004,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.5,batch,0,no,photoheterotrophic,none,acetic acid,sodium nitrate,constant,acetic acid,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,300,24,12,0,no,0.123618,0.053215,0,0.004,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,7,batch,0,no,photoheterotrophic,none,acetic acid,sodium nitrate,constant,acetic acid,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,300,24,12,0,no,0.123618,0.053215,0,0.004,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,7.5,batch,0,no,photoheterotrophic,none,acetic acid,sodium nitrate,constant,acetic acid,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,300,24,12,0,no,0.123618,0.053215,0,0.004,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,8,batch,0,no,photoheterotrophic,none,acetic acid,sodium nitrate,constant,acetic acid,single-stage,white,mBristol-CZ-M1,fluorescent,0.01,Chlorella vulgaris
HL,heterotrophic,stationary,0.1,24,0,120,0,8,0,no,0.334663,0.055038,0,15.999467,0.0057,0.086229,0.006816,0,0,0,0,0,0,6.5,batch,0,no,heterotrophic,none,glucose,peptone,initial,none,single-stage,no-color,mBristol,no-lamp,0.01,Chlorella saccharophila
HL,heterotrophic,stationary,0.1,24,0,120,0,8,0,no,0.334663,0.055038,0,19.911774,0.0057,0.086229,0.006816,0,0,0,0,0,0,6.5,batch,0,no,heterotrophic,none,"glucose, glycerol",peptone,initial,none,single-stage,no-color,mBristol,no-lamp,0.01,Chlorella saccharophila
HL,heterotrophic,stationary,0.1,24,0,120,0,8,0,no,0.608478,0.055038,0,17.955621,0.0057,0.086229,0.006816,0,0,0,0,0,0,6.5,batch,0,no,heterotrophic,none,"glucose, glycerol",peptone,initial,none,single-stage,no-color,mBristol,no-lamp,0.01,Chlorella saccharophila
HL,heterotrophic,stationary,0.1,24,0,120,0,8,0,no,0.334663,0.055038,0,9.955887,0.0057,0.086229,0.006816,0,0,0,0,0,0,6.5,batch,0,no,heterotrophic,none,"glucose, glycerol",peptone,initial,none,single-stage,no-color,mBristol,no-lamp,0.01,Chlorella saccharophila
HL,photoautotrophic,stationary,1,24,300,0,12,16,0,no,0.027526,0.00178,0.002266,0.013127,0,0.004489,0.039373,0.00798,0,0,0,0,0,,batch,0,no,photoautotrophic,sodium carbonate,none,calcium nitrate,initial,none,single-stage,white,CHU-10,fluorescent,0.2,Chlorella sp
HL,photoautotrophic,stationary,1,24,300,0,12,16,0,no,0,0.00178,0.002266,0.013127,0,0.004489,0,0.00798,0,0,0,0,0,,batch,0,no,photoautotrophic,sodium carbonate,none,none,initial,none,single-stage,white,mCHU-10,fluorescent,0.2,Chlorella sp
HL,photoautotrophic,stationary,1,24,300,0,12,16,0,no,0.027526,0,0.002266,0.013127,0,0,0.039373,0.00798,0,0,0,0,0,,batch,0,no,photoautotrophic,sodium carbonate,none,calcium nitrate,initial,none,single-stage,white,mCHU-10,fluorescent,0.2,Chlorella sp
HL,photoautotrophic,stationary,1,24,300,0,12,16,0,no,0.027526,0.00178,0.002266,0.013127,0,0.004489,0.039373,0,0,0,0,0,0,,batch,0,no,photoautotrophic,sodium carbonate,none,calcium nitrate,initial,none,single-stage,white,mCHU-10,fluorescent,0.2,Chlorella sp
HL,photoautotrophic,stationary,1,24,300,0,12,16,0,no,0,0,0.002266,0.013127,0,0,0,0,0,0,0,0,0,,batch,0,no,photoautotrophic,sodium carbonate,none,none,initial,none,single-stage,white,mCHU-10,fluorescent,0.2,Chlorella sp
LL,photoautotrophic,stationary,1,25,60,150,24,20,0,no,0.173674,0.284755,0.1428,0,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.2,batch,0,no,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.02,Chlorella vulgaris
LL,photoautotrophic,stationary,1,25,60,150,24,20,2,yes,0.173674,0.284755,0,0,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,white,BM,fluorescent,0.02,Chlorella vulgaris
LL,heterotrophic,stationary,1,25,0,150,0,8,0,no,0.173674,0.284755,0,4,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,no-color,mBM,no-lamp,0.02,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,150,24,8,0,no,0.173674,0.284755,0,4,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.02,Chlorella vulgaris
LL,mixotrophic,stationary,1,25,60,150,24,16,2,yes,0.173674,0.284755,0,4,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,glucose,sodium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.02,Chlorella vulgaris
LL,photoautotrophic,stationary,1,25,60,150,24,17,0,no,0.123618,0.053215,0.1428,0,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.2,batch,0,no,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,none,single-stage,white,mBristol-CZ-M1,fluorescent,0.02,Chlorella vulgaris
LL,photoautotrophic,stationary,1,25,60,150,24,17,2,yes,0.123618,0.053215,0,0,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,white,mBristol-CZ-M1,fluorescent,0.02,Chlorella vulgaris
LL,heterotrophic,stationary,1,25,0,150,0,8,0,no,0.123618,0.053215,0,4,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,no-color,mBristol-CZ-M1,no-lamp,0.02,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,150,24,8,0,no,0.123618,0.053215,0,4,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,white,mBristol-CZ-M1,fluorescent,0.02,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,150,24,12,2,yes,0.123618,0.053215,0,4,0.025,0.083931,0.006816,0.001033,0,0.000001,0,0,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,glucose,sodium nitrate,initial,none,single-stage,white,mBristol-CZ-M1,fluorescent,0.02,Chlorella vulgaris
HL,photoautotrophic,stationary,1,25,60,150,24,10,0,no,0.01401,0.001549,0.1446,0,0,0.003905,0.010033,0.000651,0.000002,0.000003,0,0.00436,0,6.2,batch,0,no,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,none,single-stage,white,MBL,fluorescent,0.02,Chlorella vulgaris
HL,photoautotrophic,stationary,1,25,60,150,24,10,2,yes,0.01401,0.001549,0.001801,0,0,0.003905,0.010033,0.000651,0.000002,0.000003,0,0.00436,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,none,sodium nitrate,initial,none,single-stage,white,mMBL,fluorescent,0.02,Chlorella vulgaris
LL,heterotrophic,stationary,1,25,0,150,0,16,0,no,0.01401,0.001549,0.001801,4,0,0.003905,0.010033,0.000651,0.000002,0.000003,0,0.00436,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,no-color,mMBL,no-lamp,0.02,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,150,24,16,0,no,0.01401,0.001549,0.001801,4,0,0.003905,0.010033,0.000651,0.000002,0.000003,0,0.00436,0,6.2,batch,0,no,photoautotrophic,none,glucose,sodium nitrate,initial,none,single-stage,white,mMBL,fluorescent,0.02,Chlorella vulgaris
HL,mixotrophic,stationary,1,25,60,150,24,8,2,yes,0.01401,0.001549,0.001801,4,0,0.003905,0.010033,0.000651,0.000002,0.000003,0,0.00436,0,6.2,batch,0,no,photoautotrophic,carbon dioxide,glucose,sodium nitrate,initial,none,single-stage,white,mMBL,fluorescent,0.02,Chlorella vulgaris
LL,photoautotrophic,stationary,1,25,60,150,24,20,2,yes,0.173674,0.284755,0,0,0,0.842427,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.5,batch,0,yes,photoautotrophic,carbon dioxide,none,potassium nitrate,initial,none,single-stage,white,BM,fluorescent,0.01,Chlorella vulgaris
HL,photoautotrophic,stationary,1,25,60,150,24,20,2,yes,0.087073,0.284755,0,0,0,0.600735,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.5,batch,0,yes,photoautotrophic,carbon dioxide,none,potassium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.01,Chlorella vulgaris
HL,photoautotrophic,stationary,1,25,60,150,24,20,2,yes,0.043842,0.284755,0,0,0,0.480082,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.5,batch,0,yes,photoautotrophic,carbon dioxide,none,potassium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.01,Chlorella vulgaris
HL,photoautotrophic,stationary,1,25,60,150,24,20,2,yes,0.022087,0.284755,0,0,0,0.419369,0.030153,0.010004,0.000992,0.003996,0,0.5,0,6.5,batch,0,yes,photoautotrophic,carbon dioxide,none,potassium nitrate,initial,none,single-stage,white,mBM,fluorescent,0.01,Chlorella vulgaris
LL,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,none,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,F/2,LED,0.47,Chlorella vulgaris
LL,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0.003574,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,mF/2,LED,0.47,Chlorella vulgaris
LL,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0.007148,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,mF/2,LED,0.47,Chlorella vulgaris
LL,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0.142963,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,mF/2,LED,0.47,Chlorella vulgaris
LL,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0.214444,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,mF/2,LED,0.47,Chlorella vulgaris
HL,photoautotrophic,stationary,80,25,160,0,18,20,0,no,0.012362,0.001123,0.285925,0,0,0,0,0.000651,0.000002,0.000003,0,0.00416,0,7,batch,0,yes,photoautotrophic,sodium bicarbonate,none,sodium nitrate,initial,sodium hydroxide,single-stage,purple-pink,mF/2,LED,0.47,Chlorella vulgaris
